id,messung_id,sondenposition_id,wert,zeitpunkt
1,1,1,1069.7,2024-11-06T12:05:00Z
2,1,2,1351.4,2024-11-06T12:05:00Z
3,1,3,1723.8,2024-11-06T12:05:00Z
4,1,4,1826.3,2024-11-06T12:05:00Z
5,1,5,1452.2,2024-11-06T12:05:00Z
6,1,6,1091.7,2024-11-06T12:05:00Z
7,1,7,1015.9,2024-11-06T12:05:00Z
8,1,8,1325.5,2024-11-06T12:05:00Z
9,1,9,1667.3,2024-11-06T12:05:00Z
10,1,10,1670.4,2024-11-06T12:05:00Z
11,1,11,1351.4,2024-11-06T12:05:00Z
12,1,12,1051.0,2024-11-06T12:05:00Z
13,1,13,1161.2,2024-11-06T12:05:00Z
14,1,14,1423.0,2024-11-06T12:05:00Z
15,1,15,1744.1,2024-11-06T12:05:00Z
16,1,16,1807.6,2024-11-06T12:05:00Z
17,1,17,1472.1,2024-11-06T12:05:00Z
18,1,18,1139.1,2024-11-06T12:05:00Z
19,2,1,1128.6,2024-11-06T12:25:00Z
20,2,2,1425.0,2024-11-06T12:25:00Z
21,2,3,1750.5,2024-11-06T12:25:00Z
22,2,4,1762.5,2024-11-06T12:25:00Z
23,2,5,1404.6,2024-11-06T12:25:00Z
24,2,6,1095.7,2024-11-06T12:25:00Z
25,2,7,1016.7,2024-11-06T12:25:00Z
26,2,8,1329.6,2024-11-06T12:25:00Z
27,2,9,1631.4,2024-11-06T12:25:00Z
28,2,10,1557.4,2024-11-06T12:25:00Z
29,2,11,1278.4,2024-11-06T12:25:00Z
30,2,12,992.5,2024-11-06T12:25:00Z
31,2,13,1124.1,2024-11-06T12:25:00Z
32,2,14,1424.1,2024-11-06T12:25:00Z
33,2,15,1717.1,2024-11-06T12:25:00Z
34,2,16,1722.1,2024-11-06T12:25:00Z
35,2,17,1472.8,2024-11-06T12:25:00Z
36,2,18,1273.9,2024-11-06T12:25:00Z
37,3,1,1010.1,2024-11-06T12:45:00Z
38,3,2,1290.0,2024-11-06T12:45:00Z
39,3,3,1570.3,2024-11-06T12:45:00Z
40,3,4,1511.2,2024-11-06T12:45:00Z
41,3,5,1206.6,2024-11-06T12:45:00Z
42,3,6,918.7,2024-11-06T12:45:00Z
43,3,7,803.8,2024-11-06T12:45:00Z
44,3,8,1068.6,2024-11-06T12:45:00Z
45,3,9,1310.0,2024-11-06T12:45:00Z
46,3,10,1236.7,2024-11-06T12:45:00Z
47,3,11,1028.8,2024-11-06T12:45:00Z
48,3,12,788.8,2024-11-06T12:45:00Z
49,3,13,960.1,2024-11-06T12:45:00Z
50,3,14,1208.5,2024-11-06T12:45:00Z
51,3,15,1469.1,2024-11-06T12:45:00Z
52,3,16,1473.7,2024-11-06T12:45:00Z
53,3,17,1420.2,2024-11-06T12:45:00Z
54,3,18,1113.2,2024-11-06T12:45:00Z
55,4,19,246.48,2024-11-07T12:05:00Z
56,4,20,338.45,2024-11-07T12:05:00Z
57,4,21,419.53,2024-11-07T12:05:00Z
58,4,22,416.47,2024-11-07T12:05:00Z
59,4,23,343.46,2024-11-07T12:05:00Z
60,4,24,279.35,2024-11-07T12:05:00Z
61,4,25,270.28,2024-11-07T12:05:00Z
62,4,26,366.54,2024-11-07T12:05:00Z
63,4,27,445.33,2024-11-07T12:05:00Z
64,4,28,435.49,2024-11-07T12:05:00Z
65,4,29,334.28,2024-11-07T12:05:00Z
66,4,30,262.18,2024-11-07T12:05:00Z
67,4,31,249.54,2024-11-07T12:05:00Z
68,4,32,327.74,2024-11-07T12:05:00Z
69,4,33,405.41,2024-11-07T12:05:00Z
70,4,34,390.75,2024-11-07T12:05:00Z
71,4,35,318.7,2024-11-07T12:05:00Z
72,4,36,254.24,2024-11-07T12:05:00Z
73,4,37,265.38,2024-11-07T12:05:00Z
74,4,38,366.16,2024-11-07T12:05:00Z
75,4,39,437.48,2024-11-07T12:05:00Z
76,4,40,431.92,2024-11-07T12:05:00Z
77,4,41,348.32,2024-11-07T12:05:00Z
78,4,42,275.49,2024-11-07T12:05:00Z
79,5,19,75.38,2024-11-07T12:25:00Z
80,5,20,93.82,2024-11-07T12:25:00Z
81,5,21,106.63,2024-11-07T12:25:00Z
82,5,22,112.1,2024-11-07T12:25:00Z
83,5,23,91.27,2024-11-07T12:25:00Z
84,5,24,67.91,2024-11-07T12:25:00Z
85,5,25,75.18,2024-11-07T12:25:00Z
86,5,26,95.77,2024-11-07T12:25:00Z
87,5,27,111.42,2024-11-07T12:25:00Z
88,5,28,118.05,2024-11-07T12:25:00Z
89,5,29,102.4,2024-11-07T12:25:00Z
90,5,30,75.69,2024-11-07T12:25:00Z
91,5,31,76.26,2024-11-07T12:25:00Z
92,5,32,96.17,2024-11-07T12:25:00Z
93,5,33,111.16,2024-11-07T12:25:00Z
94,5,34,115.78,2024-11-07T12:25:00Z
95,5,35,90.64,2024-11-07T12:25:00Z
96,5,36,68.66,2024-11-07T12:25:00Z
97,5,37,75.54,2024-11-07T12:25:00Z
98,5,38,95.69,2024-11-07T12:25:00Z
99,5,39,116.65,2024-11-07T12:25:00Z
100,5,40,121.72,2024-11-07T12:25:00Z
101,5,41,100.12,2024-11-07T12:25:00Z
102,5,42,74.82,2024-11-07T12:25:00Z
103,6,19,255.58,2024-11-07T12:45:00Z
104,6,20,338.09,2024-11-07T12:45:00Z
105,6,21,397.36,2024-11-07T12:45:00Z
106,6,22,396.38,2024-11-07T12:45:00Z
107,6,23,342.81,2024-11-07T12:45:00Z
108,6,24,272.6,2024-11-07T12:45:00Z
109,6,25,263.83,2024-11-07T12:45:00Z
110,6,26,329.8,2024-11-07T12:45:00Z
111,6,27,399.93,2024-11-07T12:45:00Z
112,6,28,374.77,2024-11-07T12:45:00Z
113,6,29,307.1,2024-11-07T12:45:00Z
114,6,30,243.36,2024-11-07T12:45:00Z
115,6,31,262.05,2024-11-07T12:45:00Z
116,6,32,344.12,2024-11-07T12:45:00Z
117,6,33,396.69,2024-11-07T12:45:00Z
118,6,34,387.52,2024-11-07T12:45:00Z
119,6,35,328.82,2024-11-07T12:45:00Z
120,6,36,264.13,2024-11-07T12:45:00Z
121,6,37,273.32,2024-11-07T12:45:00Z
122,6,38,357.65,2024-11-07T12:45:00Z
123,6,39,388.06,2024-11-07T12:45:00Z
124,6,40,371.41,2024-11-07T12:45:00Z
125,6,41,314.42,2024-11-07T12:45:00Z
126,6,42,247.7,2024-11-07T12:45:00Z
127,7,19,300,2024-11-08T12:00:00Z
128,7,20,300,2024-11-08T12:00:00Z
129,7,21,300,2024-11-08T12:00:00Z
130,7,22,300,2024-11-08T12:00:00Z
131,7,23,300,2024-11-08T12:00:00Z
132,7,24,300,2024-11-08T12:00:00Z
133,7,25,300,2024-11-08T12:00:00Z
134,7,26,300,2024-11-08T12:00:00Z
135,7,27,300,2024-11-08T12:00:00Z
136,7,28,300,2024-11-08T12:00:00Z
137,7,29,300,2024-11-08T12:00:00Z
138,7,30,300,2024-11-08T12:00:00Z
139,7,31,300,2024-11-08T12:00:00Z
140,7,32,300,2024-11-08T12:00:00Z
141,7,33,300,2024-11-08T12:00:00Z
142,7,34,300,2024-11-08T12:00:00Z
143,7,35,300,2024-11-08T12:00:00Z
144,7,36,300,2024-11-08T12:00:00Z
145,7,37,300,2024-11-08T12:00:00Z
146,7,38,300,2024-11-08T12:00:00Z
147,7,39,300,2024-11-08T12:00:00Z
148,7,40,300,2024-11-08T12:00:00Z
149,7,41,300,2024-11-08T12:00:00Z
150,7,42,300,2024-11-08T12:00:00Z
